Protein,ProteinName,Gene,nFragment,nPeptide,AgedMacro_Aging_Macro_10_1,AgedMacro_Aging_Macro_12_1,AgedMacro_Aging_Macro_14_1,AgedMacro_Aging_Macro_17_1,AgedMacro_Aging_Macro_25_1,AgedMacro_Aging_Macro_27_1,AgedMacro_Aging_Macro_31_1,AgedMacro_Aging_Macro_34_1,AgedMacro_Aging_Macro_38_1,AgedMacro_Aging_Macro_42_1,AgedMacro_Aging_Macro_45_1,AgedMacro_Aging_Macro_46_1,AgedMacro_Aging_Macro_53_1,AgedVehicle_Aging_Macro_11_1,AgedVehicle_Aging_Macro_16_1,AgedVehicle_Aging_Macro_18_1,AgedVehicle_Aging_Macro_23_1,AgedVehicle_Aging_Macro_26_1,AgedVehicle_Aging_Macro_29_1,AgedVehicle_Aging_Macro_33_1,AgedVehicle_Aging_Macro_37_1,AgedVehicle_Aging_Macro_54_1,Young_Aging_Macro_101_1,Young_Aging_Macro_102_1,Young_Aging_Macro_103_1,Young_Aging_Macro_104_1,Young_Aging_Macro_105_1,Young_Aging_Macro_106_1,Young_Aging_Macro_107_1,Young_Aging_Macro_108_1,Young_Aging_Macro_109_1,Young_Aging_Macro_110_1,Young_Aging_Macro_111_1,Young_Aging_Macro_112_1,Young_Aging_Macro_113_1,Young_Aging_Macro_114_1,Young_Aging_Macro_115_1,Young_Aging_Macro_116_1,Young_Aging_Macro_117_1,Young_Aging_Macro_118_1,Young_Aging_Macro_119_1,Young_Aging_Macro_120_1
A1L317|K1C24_MOUSE,"Keratin, type I cytoskeletal 24 (Cytokeratin-24) (CK-24) (Keratin-24) (K24) (Type I keratin-24)",Krt24,6,1,568367,778709,890008,850818,584828,928504,392523,967379,501308,977016,799195,974712,1.02E+06,854263,659951,653604,759191,949370,588555,662097,235921,1.25E+06,832761,881908,782139,1.13E+06,773238,747794,870989,0,872361,652818,809667,925126,1.05E+06,847729,1.04E+06,926327,1.03E+06,1.11E+06,890084,1.02E+06
Q922U2|K2C5_MOUSE,"Keratin, type II cytoskeletal 5 (Cytokeratin-5) (CK-5) (Keratin-5) (K5) (Type-II keratin Kb5)",Krt5,4,1,0,8594.56,0,23028,1359.47,12725.4,3364.14,0,1454.43,5361.97,7732.54,14845.9,0,7548.12,3613.81,5439.38,2767.02,3454.23,2156.7,0,0,2994.21,6513.59,4548.17,967.85,3958.42,3775.97,7451.44,3674.13,0,3846.82,3518.16,4754.6,4697.55,5407.67,0,5546.44,4627.72,5454.64,1573.02,0,0
Q3UV17|K22O_MOUSE,"Keratin, type II cytoskeletal 2 oral (Keratin-76) (K76) (Type-II keratin Kb9)",Krt76,6,1,17563.7,23711.4,7210.72,54626.6,7485.54,30284.6,16423.3,4048.44,4581.97,15035.7,11066.3,18955.5,3242.11,24329.6,8427.93,16506.2,3343.64,8826.12,9411.43,4529.33,3054.18,6226.72,19304.4,13270.1,0,17544,8001.58,0,13868,0,9354.06,8619.21,11420.8,10418.9,7873.29,7013.7,9750.18,13779.8,9871.13,1760.65,4783.65,1069.89
Q61595|KTN1_MOUSE,Kinectin,Ktn1,6,1,5360.95,15053.2,17623.6,15239,21370.8,14754.6,8458.56,17264.9,9103.44,8875.06,16390.4,17010.3,8568.17,13492.3,15200,13646.4,20709.3,16870.9,15633.8,16535.8,5824.8,11940.3,11074.9,11894.2,8333.18,4888.28,15407.4,9521.1,8098.57,0,10974.9,9338.77,13571.3,13080.8,16741.6,17238.2,17905,8103.09,10804.7,12752.1,14646.9,16623.6
Q60675|LAMA2_MOUSE,Laminin subunit alpha-2 (Laminin M chain) (Laminin-12 subunit alpha) (Laminin-2 subunit alpha) (Laminin-4 subunit alpha) (Merosin heavy chain),Lama2,6,1,0,1.71E+06,1.99E+06,1.67E+06,1.64E+06,1.55E+06,1.03E+06,1.33E+06,1.12E+06,1.04E+06,1.53E+06,1.40E+06,1.15E+06,1.74E+06,1.40E+06,1.48E+06,1.78E+06,1.49E+06,1.62E+06,1.40E+06,905290,1.14E+06,1.39E+06,1.39E+06,1.40E+06,691145,1.08E+06,1.15E+06,986927,0,1.27E+06,1.10E+06,1.25E+06,1.02E+06,1.30E+06,1.36E+06,1.60E+06,840778,1.11E+06,1.05E+06,1.11E+06,1.35E+06
Q8BYR2|LATS1_MOUSE,Serine/threonine-protein kinase LATS1 (EC 2.7.11.1) (Large tumor suppressor homolog 1) (WARTS protein kinase),Lats1,6,1,14842.2,28340.7,29012.9,23016.5,31025.8,23016,27661.5,29101.5,19569.8,24551.2,33247.4,43577.8,19367.9,8692.15,31354.1,21038.2,30827.4,28979.6,28067.3,20859.8,16418.6,21736.2,25150.6,32511.6,30754.7,16575.6,36100.2,44396.2,33983.8,0,31140.7,39442.4,32576.3,32692.9,37911.1,44622.7,33360.8,20157,37694.8,39064.5,39848.7,41114.1
Q7TSJ6|LATS2_MOUSE,Serine/threonine-protein kinase LATS2 (EC 2.7.11.1) (Kinase phosphorylated during mitosis protein) (Large tumor suppressor homolog 2) (Serine/threonine-protein kinase kpm),Lats2,6,1,91058,237091,172704,124948,170929,223855,169356,149406,86379.5,96538.9,241400,221221,60185.6,160590,124983,143500,114946,165905,213480,139273,122211,109038,152729,155015,162463,103832,104310,58862.3,113921,0,145124,140681,194171,105181,185207,156611,150195,92751.1,163607,159817,194791,248440
P16301|LCAT_MOUSE,Phosphatidylcholine-sterol acyltransferase (EC 2.3.1.43) (1-alkyl-2-acetylglycerophosphocholine esterase) (EC 3.1.1.47) (Lecithin-cholesterol acyltransferase) (Phospholipid-cholesterol acyltransferase) (Platelet-activating factor acetylhydrolase) (PAF acetylhydrolase),Lcat,21,4,282276,216073,240653,233140,293649,241408,279639,236713,265301,257582,162249,152473,214270,241077,231869,211080,263087,285626,292169,281829,244077,201318,250511,233582,246221,170362,240494,233354,222452,227028,209639,199313,180608,189240,180890,208079,215958,181344,208843,209107,185019,189200
P06151|LDHA_MOUSE,L-lactate dehydrogenase A chain (LDH-A) (EC 1.1.1.27) (LDH muscle subunit) (LDH-M),Ldha,12,2,40637.3,32701.3,10781,44475.6,64142.6,106522,53751.6,83144.2,64402.5,133439,0,38875.1,131604,36124.5,45560.5,40407.4,39536.5,67035.6,63975.5,63346.9,23311.5,77685,71236.7,116916,67550.3,217904,72818.6,47742.3,42929.6,0,78443.8,60160.4,79847.7,115098,84970.2,58654.8,55181.2,125852,62492.8,71942.8,54158.8,42501.8
Q8C142|ARH_MOUSE,Low density lipoprotein receptor adapter protein 1 (Autosomal recessive hypercholesterolemia protein homolog),Ldlrap1,5,1,105153,107302,139367,106684,221525,154406,202282,95781.3,145420,124046,81891.5,73443,88786.6,115063,104839,108398,192832,140258,198317,148339,153648,86943,84407.6,80368.3,72666.6,48111.5,88524.2,83352.9,84209.5,0,79371.9,91228.9,85463.7,71218.1,76031.1,84642,86276.6,75401.7,73001.2,66653.6,71650.3,78205.3
Q07797|LG3BP_MOUSE,Galectin-3-binding protein (Cyp-C-associated protein) (CyCAP) (Lectin galactoside-binding soluble 3-binding protein) (Protein MAMA),Lgals3bp,6,1,0,7811.28,9243.22,8481.71,7237.67,3730.99,7443.9,7191.37,6428.18,1713.28,9512.68,4068.94,3103.32,0,4960.53,7994.37,6074.72,11798,4945.96,11562.4,4504.29,0,6516.33,6929.41,5120.06,1624.6,0,0,5433.67,0,11167.9,8620.27,2954.08,0,6128.23,0,7037.86,5637.43,10060.8,9172.4,11682.5,15227.6
P42703|LIFR_MOUSE,Leukemia inhibitory factor receptor (LIF receptor) (LIF-R) (D-factor/LIF receptor) (CD antigen CD118),Lifr,66,8,135550,133117,264303,155143,169419,175502,80416.8,259492,116320,134327,123207,132635,144244,172835,125692,87653.8,149514,234389,127593,151528,861913,164546,188307,309546,139877,84562.6,294870,149260,119509,178687,237838,206078,155405,129680,201300,189334,335445,249391,164298,211394,176013,310019
P11260|LORF1_MOUSE,LINE-1 retrotransposable element ORF1 protein (L1-ORF1p) (LINE retrotransposable element 1) (LINE1 retrotransposable element 1) (Transposase element L1Md-A101/L1Md-A102/L1Md-A2),Lire1,6,1,0,20992.4,28711.7,36570.8,41614.7,145542,19592.1,41105.4,5402.93,55140.9,26980.6,28216.8,43386.1,0,35371.5,39747.3,34766.9,0,134659,20308.8,28715.8,30218.4,40261,24088.2,110170,68140.6,104096,0,22014.7,0,37949.5,40833.7,104241,96429.3,92831.9,0,24554.8,22072.6,46670.4,44110.2,34116.2,34255.9
P48678|LMNA_MOUSE,Prelamin-A/C [Cleaved into: Lamin-A/C],Lmna,6,1,35858.7,66880.1,108193,88431.5,247856,65112.4,174962,0,117740,0,69371.8,77372.8,81253.8,7996.45,125562,84327.1,190513,62839.2,186208,77757.6,133006,8673.12,3426.53,0,0,0,101637,98713.6,86192.4,91754.2,0,86013.6,73595.6,0,8727.43,0,18311.4,37214.1,0,56285.2,39764.3,84403.2
E9QA62|LMOD3_MOUSE,Leiomodin-3,Lmod3,5,1,41384.5,28987.5,42546.3,43174.1,37827.2,52367,41647.8,58460.7,57025.2,0,11506.8,15932.3,67061.1,28196.3,48933.5,35334.3,52686.3,80189.6,64535.2,70255.6,19445.4,29434.9,44828.6,64610.5,60907.9,83419.8,80657.1,47549.2,44757.4,0,42359.8,51045,64294.9,48799.2,46876.2,42690.7,71356.8,85204.7,48428.2,42288.1,37157,29288.5
Q9D5U0|PCT2B_MOUSE,Lysophosphatidylcholine acyltransferase 2B (EC 2.3.1.-) (Acyltransferase-like 1-B),Lpcat2b,6,1,0,247647,204297,202927,386841,151727,409933,241922,359949,153646,169206,148034,142369,32270.7,157450,267391,187416,347517,229200,387775,520636,75458.9,148242,121996,119951,42807.6,7386.75,0,97771.4,0,159256,151997,84061.1,24139.7,92627.6,0,160859,205697,212206,226385,228320,245955
Q99PI5|LPIN2_MOUSE,Phosphatidate phosphatase LPIN2 (EC 3.1.3.4) (Lipin-2),Lpin2,6,1,29980.1,32261.2,38890.5,44021.4,24754.8,33803.8,30520.6,37321.3,18674,44866.4,40958,31354.6,35025.1,40544.1,38640.3,40656.4,36564.5,31733.8,29219.9,33174.3,32423.7,34866.8,46722.7,40495.6,41827.3,37795.5,52271.3,58819.8,0,0,50662.2,42009,44229.3,51583.5,42288.8,44558.7,40811.4,29647.9,42070.1,42537.7,42119.3,40037
Q8BLY3|LRFN3_MOUSE,Leucine-rich repeat and fibronectin type-III domain-containing protein 3 (Synaptic adhesion-like molecule 4),Lrfn3,6,1,64499.2,56022.1,76702.5,67633.8,82047.3,99861,61749.8,65975.8,57164.9,116285,69568.7,79595.8,67841.9,64490.4,79052.7,53805.5,88582.8,165165,114048,0,28094.8,87259.2,75283.3,76368.5,64547.9,31188.9,86239.7,76264.1,82854.5,0,80040.9,69565.8,66163.1,90428.7,94477.4,75232.3,90256.5,50726.6,78683.5,92595.8,62702.6,72080
Q9JI18|LRP1B_MOUSE,Low-density lipoprotein receptor-related protein 1B (LRP-1B) (Low-density lipoprotein receptor-related protein-deleted in tumor) (LRP-DIT),Lrp1b,6,1,0,22369.7,19235.7,20614.2,10797.6,6568.54,15492.1,17487.9,16930.7,0,27104.8,21105.9,14356.4,2094.37,11220.4,21795.2,8177.24,18984.4,0,17028.5,16420.9,5647.84,18226.1,15954.6,11691.4,1809.02,0,447.68,13827.5,0,16983.2,14118,6975.44,0,10998.5,0,11357.4,14257.7,24183.5,22679.6,30997.8,35759.9
Q3UHC2|LRRK1_MOUSE,Leucine-rich repeat serine/threonine-protein kinase 1 (EC 2.7.11.1),Lrrk1,6,1,631309,957725,1.17E+06,882190,1.13E+06,666808,945761,1.08E+06,656401,821181,988921,1.22E+06,694140,578495,846527,669565,998043,1.24E+06,839679,1.05E+06,634016,848925,683867,807126,612594,414301,589330,595833,746087,0,853615,784264,560931,493474,612977,655108,1.05E+06,573252,1.02E+06,1.02E+06,1.02E+06,1.14E+06
P51885|LUM_MOUSE,Lumican (Keratan sulfate proteoglycan lumican) (KSPG lumican),Lum,17,2,36358.3,42136.3,42465.5,45111.4,34505.6,41716.4,32874.9,38835.9,33940.9,30394,30312.2,27913.8,33111.7,36428.9,36102.6,36449.1,42144.9,34833.6,24304.4,21865.1,16090.9,37204.5,66259.2,71181,66398.1,23088,52633.8,59831.3,28394.1,23120,68939,58955.1,55687.4,55510.5,67370.2,95251.4,76098.9,57267.2,47152.7,58062.2,67639.6,64169.8
Q8R4U7|LUZP1_MOUSE,Leucine zipper protein 1 (Leucine zipper motif-containing protein),Luzp1,6,1,25313,16010.9,15934.8,19828.7,10577.1,17521.2,13035.3,25548.7,23903.4,10288.5,8424.6,5294.07,25633.2,10929.7,20698.7,15367.5,13549,12196.3,14386.8,16136.2,0,18946.7,23718.5,24414,22372.5,17783.6,20075.3,17961,18313.3,0,22181.6,21339.1,19217,15820.7,15533.5,12498.8,17756.5,22080,13819.8,12266.9,11500.1,9451.57
P08905|LYZ2_MOUSE,"Lysozyme C-2 (EC 3.2.1.17) (1,4-beta-N-acetylmuramidase C) (Lysozyme C type M)",Lyz2,6,1,0,4918.95,6419.52,3261.96,21850.3,42229,52550.8,20242,27561.3,36922,5278.91,6125.55,7858.19,8022.56,10739.6,4542.5,25975.9,36124.9,38369.3,17119.2,54521.1,16275.1,13259.1,15429.9,14483,11522,7246.17,6544.93,4469.52,0,15580.6,3845.44,4122.03,11384.5,16053.3,16793.6,18696.1,3763.06,13105.1,4383.35,8367.61,3298.53
Q8BVN9|MAEL_MOUSE,Protein maelstrom homolog,Mael,6,1,306305,537889,643823,522343,527333,498481,325925,436302,330958,335517,477273,437904,361033,554709,443847,463073,548970,484785,504883,448442,277281,361434,448025,458572,458444,217780,337050,356772,311307,0,413583,342239,385463,318530,423969,438570,494790,263136,357802,318002,360428,439006
Q60700|M3K12_MOUSE,Mitogen-activated protein kinase kinase kinase 12 (EC 2.7.11.25) (Dual leucine zipper bearing kinase) (DLK) (Leucine-zipper protein kinase) (ZPK) (MAPK-upstream kinase) (MUK) (Mixed lineage kinase),Map3k12,6,1,115747,162994,192393,161534,302247,143554,204378,0,166250,54128.8,190309,197423,173022,99463.5,204234,179754,225917,103586,221086,122327,202767,84246.6,0,0,0,46372,168037,158844,158728,0,0,179290,168681,46962.1,50870.3,38144,67762.5,109658,0,148904,0,194077
P98064|MASP1_MOUSE,Mannan-binding lectin serine protease 1 (EC 3.4.21.-) (Complement factor MASP-3) (Complement-activating component of Ra-reactive factor) (Mannose-binding lectin-associated serine protease 1) (MASP-1) (Mannose-binding protein-associated serine protease) (Ra-reactive factor serine protease p100) (RaRF) (Serine protease 5) [Cleaved into: Mannan-binding lectin serine protease 1 heavy chain; Mannan-binding lectin serine protease 1 light chain],Masp1,6,1,20885.3,24398.8,22868.2,24566.5,36464.3,38487.2,29668.6,32732.3,30093.8,27883.4,23678.4,33292.6,34351.2,13805.6,26683.4,22968,33991,37901.4,33673.7,37048.2,12547.3,43889.7,27341,30325.5,28960.2,19626,29396.5,24916.4,26682.7,32510.6,27038.4,25353,25837.6,23854.5,27140.2,24162,30114.5,27649.7,27378.2,34470.2,31573.3,28959.2
Q91WP0|MASP2_MOUSE,Mannan-binding lectin serine protease 2 (EC 3.4.21.104) (MBL-associated serine protease 2) (Mannose-binding protein-associated serine protease 2) (MASP-2) [Cleaved into: Mannan-binding lectin serine protease 2 A chain; Mannan-binding lectin serine protease 2 B chain],Masp2,5,1,8448.67,16674.9,14290.5,17791.5,22391.5,20322.8,16177.2,17933.9,16248,21670.8,18571.8,21727.4,17983.6,10449.9,16066.7,11874.7,20403.9,20703.7,19338.3,19790,12230,17502.5,14921.1,15211.8,14718.9,11652.4,12098.2,15176,16979.3,0,12791.9,14368.1,16163.4,12171,14253.7,15698.3,17079.1,12501.7,16824.4,16936.5,15965.9,0
P04247|MYG_MOUSE,Myoglobin,Mb,34,5,13286.8,1916.38,3930.73,56768.7,105487,87767.1,17471.1,250802,15892.3,339475,251.7,64633.7,14856,11931,3062.34,4472.19,62363.3,234862,129870,40912.7,53807.2,111087,201937,869665,59710.3,107125,0,13697.3,11087.4,0,282722,0,4477.41,11865.3,159626,81907.4,105154,42649.1,137490,71740.3,52288.1,0
P39039|MBL1_MOUSE,Mannose-binding protein A (MBP-A) (Mannan-binding protein) (Ra-reactive factor polysaccharide-binding component p28B) (RaRF p28B),Mbl1,11,2,22595.7,19887.3,4072.06,24767.2,49920.1,33223,42333.6,43527.1,35197.4,35253.3,30905.7,35636.7,37688.2,2769.85,20477.8,3340.44,39514,47275.4,39605,47963.2,18496.7,36238.6,20892.5,24682.7,4654.79,17394,28116.6,21898.7,32745.2,6299.62,30213.9,25604,24615.7,20059.2,19553.1,7799.63,32191.6,24143,32284.7,34301.4,29828,27905.1
P41317|MBL2_MOUSE,Mannose-binding protein C (MBP-C) (Mannan-binding protein) (RA-reactive factor P28A subunit) (RARF/P28A),Mbl2,18,3,395772,369371,410644,492321,363608,473165,339364,369886,395372,442482,297074,405133,565283,253196,519256,375784,456489,390310,412075,404068,101359,314742,373771,386355,404052,296832,488134,421649,357129,431352,316032,387543,318290,337755,325674,348505,349392,340466,298186,333344,301446,282538
P04370|MBP_MOUSE,Myelin basic protein (MBP) (Myelin A1 protein),Mbp,6,1,266108,405369,377675,389734,240595,349861,204624,258221,206446,209984,331200,295445,215998,397660,328670,423404,305903,229845,303774,230688,253340,249433,369803,343560,418878,234345,337610,287709,262714,0,337144,317717,418457,395101,460644,465688,321248,212453,246536,229843,305630,331902
Q9WUU9|GANP_MOUSE,Germinal-center associated nuclear protein (GANP) (EC 2.3.1.48) (GC-associated DNA primase),Mcm3ap,4,1,13016.3,15641.2,16883.8,17915.3,12640.9,28261.7,16881,18982.5,7695.93,23050.5,12444.8,14949.4,22865.4,12929.9,21341.5,19400.7,14853.4,20662.7,18741,19775.9,13237,30075.3,20403.9,19640.8,23036,24754.3,22855.8,21195.2,20541.7,0,21544,25424.7,25865.3,0,25580.2,20537.7,24598.6,13444.9,18412,24651.5,20983.9,17470.9
P14152|MDHC_MOUSE,"Malate dehydrogenase, cytoplasmic (EC 1.1.1.37) (Cytosolic malate dehydrogenase)",Mdh1,9,2,0,0,0,7206.3,17217.1,13039.7,7187.06,42241.3,5093.58,60631.8,0,0,11840.5,3549.71,0,0,7203.74,39618.2,21095,11272.1,8627,20683.9,37455.8,183441,11412.6,31721.6,769.65,0,0,0,50561.3,2568.54,295.4,10752.4,28351.3,14867.3,16418,12870.5,7572.03,16470.7,10690.9,0
Q9D967|MGDP1_MOUSE,Magnesium-dependent phosphatase 1 (MDP-1) (EC 3.1.3.-) (EC 3.1.3.48),Mdp1,6,1,6909.74,9410.89,10528.7,12422.6,18687.9,30044.4,18982.3,17761.8,12458.5,21410,4529.98,9621.09,16751.8,6476.48,10998.9,12821.8,20651.6,22441.1,22167.7,25727.4,10411.4,20470.8,12189.5,13974.5,15892.7,19957.9,14941.4,11164,7493.86,0,12003.5,12839.7,15359.4,17621,16964.8,10227.5,13318.4,15423.8,11176.2,12830,9644.35,10512.8
Q6JPI3|MD13L_MOUSE,Mediator of RNA polymerase II transcription subunit 13-like (Mediator complex subunit 13-like) (Thyroid hormone receptor-associated protein 2) (Thyroid hormone receptor-associated protein complex 240 kDa component-like),Med13l,6,1,63390.7,60165.5,59380,57936.5,79120.8,70915.6,94078,62005.2,0,63092.2,53144.4,53836,58545.2,66042.6,66516,77064.2,69252.8,79280.9,70443.2,73261,111870,61883.2,59184.6,50545.1,52176.4,39522.9,44919.7,45175.2,56734.6,0,53067.6,45727,43499.2,39651.2,41778,45502.8,57447.7,41791.1,54810.9,55186.4,56217,59817.3
Q7TN02|MED26_MOUSE,Mediator of RNA polymerase II transcription subunit 26 (Cofactor required for Sp1 transcriptional activation subunit 7) (CRSP complex subunit 7) (Mediator complex subunit 26),Med26,6,1,63663.5,82241,106194,87636.7,173946,53934.8,118839,0,99679.8,1429.39,86855.2,73473,74194.6,48780.3,97100.2,94669.2,118627,45171.1,124221,58036.4,114133,5794.22,0,0,1834.75,0,63937.4,72199.5,79003.5,77270,0,59490.7,51282.6,0,1453.71,0,9990.54,37598.4,0,45439.4,30657.8,83725.4
Q812F8|MGT4B_MOUSE,"Alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase B (EC 2.4.1.145) (N-glycosyl-oligosaccharide-glycoprotein N-acetylglucosaminyltransferase IVb) (GlcNAc-T IVb) (GnT-IVb) (N-acetylglucosaminyltransferase IVb) (UDP-N-acetylglucosamine: alpha-1,3-D-mannoside beta-1,4-N-acetylglucosaminyltransferase IVb)",Mgat4b,4,1,55964.6,0,0,28958,0,0,0,72243.3,0,45077.6,0,43046.2,0,38060.5,49933.8,0,0,0,0,0,30608.7,0,37235.9,37806,84571.9,106915,85711,72635.6,59396.6,0,0,77805.9,85567.2,0,58391.2,58281.9,0,39237.8,47356.7,0,56404.4,23928.7
Q80WQ8|M18BP_MOUSE,Mis18-binding protein 1 (Kinetochore-associated protein KNL-2 homolog),Mis18bp1,6,1,0,17173,24454.4,31304.3,36453.5,126770,17239.9,37187,4184.84,48397.1,24577.6,24281.9,37694.6,0,12304.8,34697.1,30184.1,19045.2,0,17310.1,16217.6,26710.9,34396.8,21662.8,39836.6,58448.4,88285.2,0,18084.1,0,33527.5,35288.5,89878.4,81361,80444.3,0,20211.6,18722.8,42065.2,39119.8,29765,29036.3
O70138|MMP8_MOUSE,Neutrophil collagenase (EC 3.4.24.34) (Collagenase 2) (Matrix metalloproteinase-8) (MMP-8),Mmp8,6,1,23208.3,0,34379.1,41227.8,26310.1,29041.9,29760.9,34329.1,28433.1,29578.8,32507.1,28479.8,37681.7,26594.5,42187,36397.4,31871.6,30451.6,29773.6,32119.1,24167.1,28239,40453.8,38449.8,40645.7,21116,34366.5,26097.7,0,0,39808.8,34981.7,34709.2,34768.4,36318,37027.6,36918.4,27154.9,38827.5,39545.3,39990,34501.9
Q80TL7|MON2_MOUSE,Protein MON2 homolog (Protein SF21),Mon2,5,1,37673,16343.8,19344.3,18510.1,58104.8,11436,40893.6,0,54937.3,1038.84,10427.7,4954.52,27968,8405.79,21186.1,22781.3,29424.7,10227.3,39549.1,17460.6,29061.2,0,0,0,0,0,18043.9,15563.2,18709,0,0,16427.5,13783,0,0,0,0,19994,0,6849.38,5149.65,13690.3
D3Z750|MRO2A_MOUSE,Maestro heat-like repeat-containing protein family member 2A (HEAT repeat-containing protein 7B1),Mroh2a,6,1,19771.5,101832,92047.5,125183,104383,90144.1,122249,107535,194829,15418.3,74430.7,75275,144035,85559.1,119939,108157,93162.2,80099.3,102822,130794,55012,93268.8,186680,184775,195024,184414,173283,185739,179284,0,192998,200871,218176,188515,167850,142617,108795,226696,197078,162326,153519,163004
Q9EQI8|RM46_MOUSE,"39S ribosomal protein L46, mitochondrial (L46mt) (MRP-L46)",Mrpl46,6,1,49292.1,34852.7,36419.9,33462.3,36372.7,29717.5,46552.1,38054.9,43340.9,34090,14640.2,9835.88,33327.2,35082.9,28422.1,33031.8,38639.5,34423.2,39537.7,26884,20511,15465.8,40084.3,38386,0,23260.9,30392.9,31672.3,29337.7,0,31538.5,27865.9,29663.6,0,25423.6,25854.2,22528.8,36026,32315.6,19074.8,22352.7,11427.4
P26928|HGFL_MOUSE,Hepatocyte growth factor-like protein (Macrophage stimulatory protein) (MSP) [Cleaved into: Hepatocyte growth factor-like protein alpha chain; Hepatocyte growth factor-like protein beta chain],Mst1,11,2,16152.8,17490.3,19359.1,16165.3,14995.6,13468.1,19837.5,17415,14564.8,16068.8,3192.75,7293.6,16964.8,17955,18883,17469.9,19448.6,19723.3,15143.2,17268.4,15944.6,16831.4,16170.2,15013.1,14454.1,9868.7,9006.8,15689.9,14829.5,0,13329.8,11079.7,10439.2,13060,10346.7,19150.1,16896.4,11715.4,17583.1,14022.6,15281.7,13237.6
Q03358|MSX2_MOUSE,Homeobox protein MSX-2 (Homeobox protein Hox-8-1),Msx2,5,1,10464.4,0,16943.6,16484.1,10103.8,23385.4,0,12062.4,5586.32,16053,8020.79,15104.1,0,19288.2,0,18103,16389,14567.5,0,11309.8,10911.6,23433,0,18978.1,0,15338.3,0,22603.9,0,0,0,0,0,0,0,0,0,0,0,13745.2,0,0
Q5HZI1|MTUS1_MOUSE,Microtubule-associated tumor suppressor 1 homolog (AT2 receptor-binding protein) (Angiotensin-II type 2 receptor-interacting protein) (Coiled-coiled tumor suppressor gene 1 protein) (Mitochondrial tumor suppressor 1 homolog),Mtus1,12,2,0,218495,164384,186300,127456,107761,63881.3,151087,104376,57534.4,187335,206757,143040,9492.36,88779.7,154355,47987.1,173635,88861.2,169154,51102.4,77100.9,139542,120953,135113,53789.5,10224.6,0,91632.7,157753,127592,102764,90408.3,12176.4,132204,0,155574,117709,130775,172991,175026,250264
P28665|MUG1_MOUSE,Murinoglobulin-1 (MuG1),Mug1,335,44,9.31E+06,1.07E+07,1.14E+07,1.16E+07,1.10E+07,1.32E+07,7.54E+06,1.45E+07,8.57E+06,1.22E+07,9.55E+06,1.10E+07,1.54E+07,9.97E+06,1.10E+07,9.80E+06,1.10E+07,1.32E+07,8.96E+06,1.03E+07,3.18E+06,1.54E+07,1.19E+07,1.23E+07,1.09E+07,1.27E+07,1.15E+07,9.31E+06,1.09E+07,1.00E+07,1.05E+07,1.01E+07,1.29E+07,1.15E+07,1.25E+07,1.17E+07,1.39E+07,1.20E+07,1.36E+07,1.40E+07,1.20E+07,1.30E+07
P28666|MUG2_MOUSE,Murinoglobulin-2 (MuG2),Mug2,12,1,2188.15,350166,393019,374330,307707,418811,198950,384261,0,383597,354550,404481,400104,11066.1,355837,333333,343228,389102,226414,266613,130528,421813,382489,377274,385078,418256,344215,175184,330760,0,341200,307320,439842,389664,410675,354659,449312,404687,469707,472309,409557,455661
B5X0G2|MUP17_MOUSE,Major urinary protein 17 (MUP 17),Mup17,10,1,5844.4,5559.57,18960.6,4745.98,16944.2,44087.2,0,39293,14864.8,8472.89,0,6608.14,29027.8,5366.06,9113.84,815.71,7756.81,35518.7,5572.48,26034.9,0,59373.1,10696.3,24862.5,8944.03,5823.06,22393.2,3997.27,4725.73,5121.71,16846.4,11077.1,15088.9,8787.15,20345.1,3260.64,38072.4,56014.1,8497.88,21957.7,13204.6,25159.7
Q5FW60|MUP20_MOUSE,Major urinary protein 20 (Darcin) (Major urinary protein 24),Mup20,6,1,3500.09,310.8,345.47,4078.94,612.26,7908.11,928.09,12317.2,10848.1,1387.61,0,0,8625.67,0,4696.28,1677.52,1679.1,4490.33,3112.3,7629.45,0,7747.28,2140.45,8203.63,6138.48,6978.02,8824.8,1160.16,0,0,4898.93,5672.75,3935.59,3062.24,0,0,1088.55,19585.6,0,2513.89,790.86,457.95
P04939|MUP3_MOUSE,Major urinary protein 3 (MUP 3) (Non-group 1/group 2 MUP15),Mup3,6,1,6302.51,10023.2,19326,16099.8,10146.3,40446.1,0,19919.1,13653.6,25819.4,4222.6,8172.15,22840.1,9245.24,16618.8,10663,19611.9,26841.3,16633.5,17700.4,0,26097.9,18192,24349.7,21375.5,24003.8,28659.1,19568.2,13418.9,18007.7,23637.6,21208.6,23399.6,25070.2,24702.3,15621.9,30462.6,30509.9,12043.6,20486.3,18567,19507.3
P09922|MX1_MOUSE,Interferon-induced GTP-binding protein Mx1 (Influenza resistance protein) (Myxoma resistance protein 1) (Myxovirus resistance protein 1),Mx1,6,1,756289,217037,184163,235148,232893,0,459160,313568,581117,406045,140053,176291,510937,289323,329002,348983,261340,324934,228595,332071,511511,360477,258147,269981,246922,265378,226029,233125,369794,0,266879,297944,0,173442,157780,142499,251308,403968,349273,350979,275361,214283
